2022-11-23 11:46:38.947 +0100 CET,30208,1049
2022-11-23 11:47:28.811 +0100 CET,30778,1196
2022-11-23 11:50:23.322 +0100 CET,31480,1406
2022-11-23 11:50:38.284 +0100 CET,31998,1584
2022-11-23 11:52:27.979 +0100 CET,31409,1383
2022-11-23 11:52:42.941 +0100 CET,30626,1155
2022-11-23 11:53:12.86 +0100 CET,31349,1364
2022-11-23 11:53:17.849 +0100 CET,31856,1533
2022-11-23 11:53:32.81 +0100 CET,31317,1354
2022-11-23 11:53:37.8 +0100 CET,30638,1158
2022-11-23 11:54:32.65 +0100 CET,31738,1492
2022-11-23 11:54:37.639 +0100 CET,32272,1687
2022-11-23 11:55:37.474 +0100 CET,31665,1467
2022-11-23 11:55:47.449 +0100 CET,31052,1274
2022-11-23 11:55:57.425 +0100 CET,31850,1531
2022-11-23 11:56:07.4 +0100 CET,32458,1761
2022-11-23 11:59:51.774 +0100 CET,31052,1274
2022-11-23 12:00:01.749 +0100 CET,31656,1464
2022-11-23 12:00:11.725 +0100 CET,32261,1683
2022-11-23 12:04:55.931 +0100 CET,32790,1901
2022-11-23 12:07:50.443 +0100 CET,32215,1665
2022-11-23 12:08:00.418 +0100 CET,33045,2016
2022-11-23 12:09:35.155 +0100 CET,32500,1778
2022-11-23 12:09:40.145 +0100 CET,33090,2037
2022-11-23 12:10:05.078 +0100 CET,32175,1650
2022-11-23 12:10:15.052 +0100 CET,33017,2003
2022-11-23 12:17:58.774 +0100 CET,32510,1782
2022-11-23 12:19:13.579 +0100 CET,32510,1897
2022-11-23 12:20:05.448 +0100 CET,33069,2027
2022-11-23 12:37:02.656 +0100 CET,33614,2298
2022-11-23 12:37:42.551 +0100 CET,33050,2018
2022-11-23 12:37:52.526 +0100 CET,32269,1686
2022-11-23 12:37:57.516 +0100 CET,31623,1453
2022-11-23 12:38:37.408 +0100 CET,32845,1925
2022-11-23 12:38:57.357 +0100 CET,34078,2557
2022-11-23 12:39:07.332 +0100 CET,34626,2901
2022-11-23 12:39:22.294 +0100 CET,34098,2569
2022-11-23 12:39:37.256 +0100 CET,33011,2000
2022-11-23 12:39:47.232 +0100 CET,33969,2493
2022-11-23 12:39:57.207 +0100 CET,34684,2940
2022-11-23 12:40:42.087 +0100 CET,33853,2428
2022-11-23 12:40:47.076 +0100 CET,34669,2930
2022-11-23 12:42:16.834 +0100 CET,32608,1823
2022-11-23 12:42:21.823 +0100 CET,31859,1534
2022-11-23 12:42:31.799 +0100 CET,33137,2059
2022-11-23 12:42:41.774 +0100 CET,33821,2410
2022-11-23 12:44:16.517 +0100 CET,34335,2713
2022-11-23 12:45:01.396 +0100 CET,32136,1635
2022-11-23 12:45:06.387 +0100 CET,31242,1331
2022-11-23 12:46:11.21 +0100 CET,31984,1579
2022-11-23 12:46:21.186 +0100 CET,32551,1799
2022-11-23 12:46:31.162 +0100 CET,33347,2161
2022-11-23 12:46:41.137 +0100 CET,32162,1645
2022-11-23 12:47:06.071 +0100 CET,31554,1430
2022-11-23 12:47:40.978 +0100 CET,32233,1672
2022-11-23 12:47:55.94 +0100 CET,31542,1426
2022-11-23 12:49:30.681 +0100 CET,30983,1254
2022-11-23 12:50:40.491 +0100 CET,31511,1416
2022-11-23 12:52:25.207 +0100 CET,32215,1665
2022-11-23 12:53:20.06 +0100 CET,31650,1462
2022-11-23 12:53:54.967 +0100 CET,32346,1716
2022-11-23 12:54:04.943 +0100 CET,32958,1976
2022-11-23 12:54:19.905 +0100 CET,33864,2434
2022-11-23 12:54:39.853 +0100 CET,33101,2042
2022-11-23 12:55:44.678 +0100 CET,32502,1779
2022-11-23 12:55:59.64 +0100 CET,33297,2136
2022-11-23 12:56:04.629 +0100 CET,34228,2647
2022-11-23 12:56:09.619 +0100 CET,34740,2978
2022-11-23 12:56:34.554 +0100 CET,33804,2400
2022-11-23 12:56:39.543 +0100 CET,32961,1977
2022-11-23 12:56:49.519 +0100 CET,31876,1540
2022-11-23 12:57:04.481 +0100 CET,31365,1369
2022-11-23 12:57:34.401 +0100 CET,32428,1749
2022-11-23 12:57:44.376 +0100 CET,33534,2256
2022-11-23 12:57:54.353 +0100 CET,32613,1825
2022-11-23 12:58:04.328 +0100 CET,32104,1623
2022-11-23 12:58:44.224 +0100 CET,31140,1300
2022-11-23 12:58:59.185 +0100 CET,30634,1157
2022-11-23 12:59:39.078 +0100 CET,30116,1027
2022-11-23 13:04:43.246 +0100 CET,29581,908
2022-11-23 13:05:58.043 +0100 CET,29058,805
2022-11-23 13:08:12.676 +0100 CET,28525,712
2022-11-23 13:11:27.141 +0100 CET,28001,631
2022-11-23 13:14:06.712 +0100 CET,28001,573
2022-11-23 13:16:33.319 +0100 CET,27482,560
